2022-09-11 15:13:49,955 | root       | INFO       | Retrieving documents                                                                                                                                                                                                                                                                                        
2022-09-11 15:13:49,958 | root       | INFO       | Combining lexicons                                                                                                                                                                                                                                                                                          
2022-09-11 15:13:49,959 | root       | INFO       | Creating matrix 'A'                                                                                                                                                                                                                                                                                         
2022-09-11 15:13:49,996 | root       | INFO       | [[2 3 3 4 9 3 1 6 3 6 4 4 1 7 7 0 6 4 3 4]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:49,997 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:49,998 | root       | INFO       | [[0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:49,999 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,000 | root       | INFO       | [[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,000 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,001 | root       | INFO       | [[0 0 0 0 0 0 1 1 0 0 2 1 1 1 0 0 0 1 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,002 | root       | INFO       | [[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,003 | root       | INFO       | [[0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,003 | root       | INFO       | [[0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,004 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,005 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,005 | root       | INFO       | [[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]                                                                                                                                                                                                                                                                 
